Iloko,English
isu’t nangawid dayta bagko.,he is the one who went home with my bag.
dakami’t naglugan diay motorsiklo.,we are the ones who rode the motorcycle.
isu’t mangtultulong nga agbasa iti adingna.,he is the one helping his younger sibling read.
dakami’t nangkibin iti bulsek a binmallasiv vi kalsada.,we are the ones who picked up the scattered trash on the road.
dakayo’t nakitak nga nagwalis tattay.,you are the ones i saw sweeping earlier.
sika’t nadayaw nga ubing.,you are a respectful child.
napan gimmatang,went to buy
lima a rambutan,five rambutans
nabanglo a rosas,fragrant rose
napintas a rupa,beautiful face
atiddog a rangtay,long bridge
baro a relo,new watch
naragsak ni rina,rina is happy
nabanglo a rosas ti kayat ni rona.,rona wants a fragrant rose.
baro a relo ti ginatang ni roy.,roy bought a new watch.
naragsak ti rupa ni rina idi rabii.,rina's face was happy last night.
adda lima a rambutan idlay abay ti atiddog a rangtay.,there are five rambutans beside the long bridge.
basaen ti ababa nga istoria,read the short story
agaramid ti tsart ti istoria,make a story chart
idrama,dramatize
iyebkas ti daniw nga adda aksionna,express
kaduan ti ubing,accompany the child
ivideo,video it
napalalo ti gaget ni kuton.,ant is very hardworking.
napalalo met ti sadot ni dudon.,grasshopper is very lazy.
demteng ti bagyo.,a storm came.
awan ti paglinongan ni dudon.,grasshopper has no place to take shelter.
nakaumungen iti makanna.,has stored
nagtuktok ni dudon.,grasshopper knocked.
siaayat ni kuton a mangpasangbay.,ant is willing to welcome
kulibangbang nga agtayabtayab,butterfly that is flying around
ayan dagiti sabong a mapusaksak,where the flowers are succulent
nangalaam marismo a naraniag?,where did you get a very bright marisco?
ubing a napnoan dayag,child full of honor
inted ni apo a namarsua,given by the lord creator
nagaget a mannalon,hardworking farmer
bumalasang nga anak,young maiden daughter
agsarita ti “diak ammo!”,"says ""i don't know!"""
nagguruod ti napigsa.,there was a loud thunder.
mara-ithog ken duyaw.,egg-like and yellow.
maradaga a maris.,orange color
mata ti langana.,eyes of a spider
impukkawna ti nagan ti anakna.,she called out the name of her child.
naipaktita a nalating ti pasamak.,the event was shown skillfully.
kurang ti panagarte.,lacking in acting.
adda bassit a parte... a saan a naipaktita.,a small part was not shown.
adu a parte... ti saan a naipaktita.,many parts were not shown.
nangipaktita ti apagbilt,showed a very short
umno nga ugali.,appropriate behavior
hawla ti billit,bird cage
nalawa nga hardin,wide garden
ni hanna,of hanna
adu ti handa,there's a lot of food prepared
nalaeng nga ubing ni hanna.,hanna is a skillful child.
adda ili uneg ti hawla ti bassit a billit.,there is a small bird inside the cage.
nalawa ti hardin da haji.,haji's garden is wide.
matutudo ti bulan ti hulio.,the month of july is rainy.
basaen dagiti sumaganad a sarita,read the following sentences
pilien ti umno a sungbat,choose the correct answer
isurat ti sungbat idiay uged,write the answer on the line
bukelan ti letra,encircle the letter
idrowing ti rupa,draw a face
isilpo ti umno a sungbat,match the correct answer
sungbatan ti umno a balikas,answer with the correct word
makompleto ti sarita,complete the sentence
nadadayaw a pamarita,courteous expressions.
agibaga iti bukod a padas,to share one's own experience.
naimbag a bigat.,good morning.
naimbag a malem.,good afternoon.
naimbag a rabii.,good evening.
naimbag nga aldaw.,good day.
kumusta ka?,how are you?
awan aniaman.,you're welcome.
dispensaren nak.,please excuse me.
makikaasiak koma.,i humbly ask for your kindness.
agpakadaak koma.,i will take my leave.
nadangran ti anakko... siakon ti dumawat ti dispensar apo.,my child hurt... i am the one asking for forgiveness.
"ay! adda ni apong maria, komusta kayo?","oh! grandma maria is here, how are you?"
agyamanak dagiti tulong nga impaayyo kadakami.,thank you for the help you gave us.
addaak ditoy sangoyo... makikaasiak koma a tulungannak.,i am here before you... i humbly ask for you to help me.
kayatko nga agpakada koma a nasayaat kadakayo amin.,i would like to bid you all goodbye properly.
gapu ta aldaw ti kasangaymo...,because it is your birthday.
maysa a rabii ket nadanunam nga adda bisita...,one evening you noticed there was a visitor.
kayatmo ti sumurot kadagiti gayyemmo...,you want to go with your friends.
nasabatmo iti bigbigat ti maestram...,you met your teacher in the morning.
nabayagkayo a saan nga nagkinnita...,you haven't seen each other for a long time.
pinadawatan daka ti merienda.,they offered you a snack.
kasangay ti gayyemmo.,it is your friend's birthday.
nakabaddekka ti saka.,you stepped on a foot.
naimbag a malem yo!,good afternoon to you!
naimbag a malemmo met!,good afternoon to you too!
apay dinak nakita a sumungad?,why didn't you see me coming?
aglisikaman dita!,you move out of the way!
ilibrenak ta awan kuartak...,treat me because i have no money...
ania daytoy?,what is this?
labasan kayon.,i'm passing through you.
umuna a tukad,first step.
agbuya sine,to watch a movie.
kadawyan nga aggian ti pusa iti uneg ti balay.,cats usually live inside the house.
naturog ti buaya idlay sirok ti kayo.,the crocodile is sleeping under the tree.
ti surat ket adda idlay rabaw ti lamisaan.,the letter is on top of the table.
simrek dagiti makinisa iti uneg ti simbaan.,the churchgoers entered inside the church.
tiniliw ni oli daydiay manok a timmayab idlay rabaw ti kayo.,oli caught the chicken that flew on top of the tree.
nangala ni pedro ti badona iti uneg iti kabinet.,pedro got his clothes from inside the cabinet.
indisso ni nena tay suratna iti rabaw iti lamisaan.,nena placed her letter on top of the table.
kada mangan kami ni tarsi nga asomi ket aggian idiay ruar iti lamisaan.,"whenever we eat, my spouse tarsi and i sit outside the table."
agin-inana ni tatang idiay sirok iti kayo.,father is resting under the tree.
nadanunak idiay ruar iti paraanganmi dagiti barangay opisial nga agur-uray kenni tatangko.,i noticed the barangay officials waiting for my father outside our yard.
adu ti billit nga agtatayab idlay ruar ti kayo.,there are many birds flying outside the tree.
nakaturog daydiay pusa idiay sirok ti lamisaan.,that cat is sleeping under the table.
dagiti tattao ket adda amin idlay uneg ti gym.,the people are all inside the gym.
nagipan ni noel ti pantalonna iti uneg ti kabinet.,noel placed his pants inside the cabinet.
dagiti ubbing ket addada amin idlay ruar ti paraangan.,the children are all outside in the yard.
nagigalut iti indayan diay sirok ti manga ni tatang.,father is cutting firewood under the mango tree.
adda idiay rabaw ti kabinet diay libro.,the book is on top of the cabinet.
adda amin dagiti nakimisa idiay uneg ti simbaan.,all the mass attendees are inside the church.
napan diay ruar iti kalsada dagiti nakabulas a kalding.,the loose goats went outside to the road.
makitam daydiay naduma-duma a prutas iti uneg ti basket.,you can see the various fruits inside the basket.
isurat iti uged,write on the line
usaren dagiti... tapno makompleto,use the ... to complete
mangisurat ti patang,write a sentence
bukelan ti husto a sungbat,encircle the correct answer
pilien ti tignay a maiyannatop,choose the verb that is appropriate
timbukelan ti letra,encircle the letter
isurat ti numero,write the number
biruken iti uneg ti sabong,find inside the flower
ikarga ti sungbat,place the answer
sarita a tignay,verbs
aramidento pay laeng,will still do
panangibaga ti oras,time signals
idi napalabas a tawen,last year
idi lunes,last monday
idi rabii,last night
inton sumaruno a tawen,next year
nagdalus iti pagmulaanda ti masetas.,friend
nagkali iti abut a pagibellengan.,they dug a pit for the garbage.
nagpasiar idiay plasa.,they strolled at the plaza.
nagtaray nga apan gumatang.,they ran going to buy.
nagpuros ti sabsabong idiay hardin.,they picked the flowers in the garden.
agaw-awir ti badona.,she is hanging her clothes.
agkibkibin ti basura.,he is picking up the trash.
agsaksakay iti bisikleta.,he is riding a bicycle.
agbugbuggo iti danum.,they are splashing in the water.
agpaspasnek ni linda nga inaldaw...,linda exercises everyday...
nagabang dagiti aggayyem...,the friends took a ride...
nagtaray dagiti agkabsat...,the siblings ran...
nagayam da renato kenni tatangna...,renato and his father played...
ikkatenna a dagus ti ulesna...,she immediately removes
pudno a biag,real life
inaldaw a padas,everyday experience
tarusam a nalaing,understand it well
kabaelan nga aramiden,can be done
saan a kabaelan nga aramiden,cannot be done
inaldaw a tumultulong ni mario..,mario helps everyday...
pinunno ni mario ti dakkel a banga...,mario filled the big jar...
nagbagkat pay isuna ti adayo nga kayo...,he also carried the long piece of wood...
...idi sumangpet iti balayda.,...when he arrived at their home.
karpintero... agaramid,carpenter... to make
billit... makatayab,birds... can fly
maladaga... umuli ti kayo,young man... to climb a tree
maestra... agag-agas,teacher... to treat illnesses
tuleng... agdengdenggeg,deaf person... to listen
dakkel a banga,big jar
kasla mailiwan,as if missing me
marisan daytoy iti kahel.,color this orange.
agdrowing ti pangananna.,draw its bell.
manisurat ti nagan.,write the name.
imbukelan daydiay strawberry.,encircle the strawberry.
ikahon diay mansanas.,box the apple.
agwagwag iti ima.,wash the hands.
agkararagak sakbay nga agidda.,i pray before sleeping.
palamiiisen daydiay mantika.,let the oil cool.
papuduten daydiay mantika.,heat up the oil.
agsukatak ti badok.,i change my clothes.
"umuna, mangala ti dua a pidaso ti tinapay.","maudi, sayaaten a balkoten daydiay tinapay."
"kalpasanna, pagkinnaluben diay dua a pidaso ti tinapay.","then, spread on the two slices of bread."
"sumaruno, pulagidan ti peanut butter.","next, spread the peanut butter."
"maudi, sayaaten a balkoten daydiay tinapay.","finally, neatly wrap the bread."
agwagwag iti ima sakbay a mangan.,wash hands before eating.
papuduten daydiay mantika sakbay nga ipisok diay itlog.,heat the oil before putting in the egg.
agsukatak ti badok a para balay.,i change into my home clothes.
bugwan daytoy.,share this.
taraken nga ayup,pet animal
makapasalun-at,healthy
pirma wenno tao a nagsurat,signature or the person who wrote
pangkablaaw,greeting
petsa ken naggapuan ti surat,date and place of origin
lima a parte ti surat,five parts of a letter
surat-aawis,invitation letter
surat a pannakigayyem,friendly letter
surat no kayat mo ti agpakada,excuse letter
surat ti agyaman,thank you letter
naduma-duma a surat,different kinds of letters
pannakipatang,communication
agyamanak ti panangawis mo kaniak...,thank you for inviting me...
kayatko nga ipakaammo a...,i would like to inform you that...
awisenka nga umay ditoy balaymi...,i am inviting you to come to our house...
kayatmi koma nga ipakada daytoy anakmi...,we would like to excuse our child...
sapay kuma ta makaumayka.,i hope you can come.
"toy gayyemmo,",your friend
agyamankami unay maestra.,"thank you very much, teacher"
"toy nagsurat,",the one who wrote
agyamanak ti panangawis mo kaniak iti kasangaymo.,thank you for inviting me to your birthday.
maragsakanak unay a dumar-ay...,i am very happy to attend...
agkimitata ngarud dita balayyo inton sabado.,let's meet at your house on saturday.
awisenka nga umay ditoy balaymi inton kasangay ni adingko...,awisenka nga umay ditoy balaymi inton kasangay ni adingko...
sapay kuma ta umayka.,i hope you come.
nammnamaemmi ti naan-anay a pannakaawatyo.,hoping for your understanding.
sapay kuma ta,i hope that
makaumayka,you can come
saan a makastrek,cannot go to school
naminsan nga aldaw,the other day
naan-anay a pannakaawat,full understanding
kannawan a ngato,upper right
agnanaed dagiti agina a ngilaw ken maysa a tukak...,a mother bird and a frog lived...
...iti asideg ti lubnak.,...near the swamp.
kanayon a bilbilinen ni ngilaw ti anakna...,the bird always reminded her child...
...saannak a matiliw ta napardasak a tumayab,...i won't be caught because i can fly fast
napan ngarud daytoy rabaw ni tukak.,so it went on top of the frog.
"anian a malasna, natiliwna ti anak a ngilaw.","unfortunately, the young bird was caught."
pagarian ti narusnub,kingdom of narusnub
alaen ti gangannaet daydiay prinsesa...,a stranger will take the princess...
...binagsolna ti bagian ket natay.,...she hit herself and died.
...nagbalin a mangga.,...turned into a mango tree.
pusa ken billit,cat and bird
mabisinen ni billit..,the bird was hungry...
husto laeng ti naumong ni pusa..,the cat only gathered enough food for himself.
nagumong ti ado a taraon ni pusa,the cat gathered a lot of food
idiay minuyungan,in the orchard
inawis ti pusa ti aso...,the cat invited the dog...
...mapanda agpasiar idiay plasa.,...to go for a walk at the plaza.
pagammuan a binrmallasivv ti aso...,suddenly the dog slipped...
...naatalan daytoy iti bisikleta,...and was hit by a bicycle.
nasakit nga maipagna ti saka ti aso.,the dog's foot was painful to walk on.
agina a ngilaw,mother bird
kuadrado ti orasan.,the clock is square.
duyaw ti sapatos ni jose.,jose's shoes are yellow.
atiddog ti kayo a natumba.,the tree that fell is tall.
napukaw ti lapisko a nangisit.,i lost my black pencil.
trianggulo ti pizza.,the pizza is triangular.
nagpidot ni juan ti puraw a bato.,juan picked up a white stone.
dakkel a tinapay ti kinnanna.,he ate a big bread.
bassit ti punganko.,my pillow is small.
berde ti bulbulong ti marunggay.,the leaves of the malunggay are green.
marapuso ti pinggan ni ading.,my younger sibling's plate is heart-shaped.
adda nasabat ko a puraw a pusa.,i met a white cat.
atiddog ti ipusna.,its tail is long.
nagtaray ken naglemmeng ti natimbukel a bato.,it ran and hid behind a round stone.
ti rektanggulo a pinggan...,the rectangular plate...
...ken duyaw a pitser...,...and a yellow pitcher...
...idiay rabaw ti ababa a lamisaan.,...on top of the short table.
timbukelan ti husto a...,encircle the correct...
isurat iti linia,write on the line
ugedan ti... ken timbukelan ti...,underline the... and encircle the...
isurat ti kategoria,write the category
pilien ti sungbat iti kahon,choose the answer from the box
balikas-a-pagiladawan,adjectives
nalamiis ti pul-oy ti angin.,the breeze of the wind is cold.
naragsak dagiti ubbing.,the children are happy.
nakersang ti kayo ti salamagi.,the trunk of the tamarind tree is rough.
nabara ti bagi ti ubing.,the child's body is warm.
mabisin ni ella.,ella is hungry.
naliday ni tina.,tina is sad.
napudot ti sopas.,the soup is hot.
nalukneng ti kapas.,the cotton is soft.
nabsog ti a tarakenko.,my pet is full.
napudot ti.,the is hot.
nakersang ti.,the is rough.
naliday ti babae.,the girl is sad.
nalamuyot ti marshmallow.,the marshmallow is soft.
nakersang ti darat.,the sand is rough.
naragsak isuna.,she is happy.
nalamiis dagiti icedrop.,the ice drops are cold.
napudot ti kape.,the coffee is hot.
naraniag ti bulan idi rabii.,the moon was bright last night.
naragsak ni emly.,emly is happy.
nalamuyot ti ules ni merly.,merly's blanket is soft.
mabisin ni romel.,romel is hungry.
naunget ti nga aso.,his pet is angry.
nalamuyot ti.,the pillow is soft.
nabara ti.,the weather is warm.
pul-oy ti angin,breeze
ikkan ti tsek,put a check
timbukelan ti...,encircle the...
idrowing ti...,draw a...
pilien ti...,choose the...
singin-a-balikas,compound words
dagiti ogsobali a balikas,root words
tambalang-salita,compound words
nauilmek ni jose idiay siled-pagbasaan.,jose is quiet in the library.
kudil-sibuyas ti kaay-ayanko.,my friend is thin-skinned
simmangpet ni tatang idi agaw-sipnget.,father arrived at dusk
gunay-pag-ong ni rona.,rona is a slowpoke.
nagsward test dagiti naggapu idiay ballasiw-taaw.,those from overseas took a swab test.
kudil-sibuyas ni adingko.,my sibling is sensitive.
tangken-ulo ti kabsatna.,his sibling is stubborn.
gunay-pag-ong ni lelong isu nga kanayon a maudi.,grandfather is a slowpoke so he's always last.
taray-kabalio ni cardo.,cardo is a fast runner.
adda isuna idiay siled-pagbasaan.,he is in the library.
kuarto a masarakan dagiti liblibro,room where books are found
taray-kabalio ti nangabak nga atleta.,the athlete who won is a fast runner.
singpet-kiteb ti ubing.,the child is shy.
adda ubbing iti siled-pagbasaan.,there is a child in the library.
pinakan ni romy ti bantay-balay.,romy fed the watchdog.
nagay-ayam dagiti ubbing ti karimbaboy.,"the children played ""walking on all fours""."
tangken-ulo ni rico.,rico is stubborn.
nakakulong ti bantay-balay ni david.,david's watchdog is in a cage.
simmangpet idi kalman ni manang naggapu iti ballasiw-taaw.,my sister arrived yesterday from overseas.
pagilian a ruar ti pilipinas,country outside the philippines
agaw-sipnget idi pimmanaw ni nanang.,it was dusk when mother left.
haan ka man a kudil-sibuyas.,you are not sensitive.
mangbukel iti patang,to form a sentence
karim-baboy,walking on all fours
gunay-pag-ong nga agwalis ni alvin.,alvin sweeps like a slowpoke.
nagswab test dagiti naggapu idiay ballasiw-taaw.,those from overseas took a swab test.
dagiti dua nga ubbing ket singpet-kiteb,the two children are shy.
nagdrowing ni jose iti bulan-laud ken bituin.,jose drew the night sky and stars.
agulimekka no addaka iti siled-pagbasaan.,you must be quiet if you are in the library.
agay-ayamda ti pitik-bulag.,they are playing hide and seek.
tagpi ti nagan ti bantay-balay.,the watchdog's name is tagpi.
naragsak nga agay-ayam dagiti ubbing ti pitik-bulag.,the children are happily playing hide and seek.
nabayag a nakadanun ni jose ta isuna ket gunay-pag-ong.,it took a long time to find jose because he is a slowpoke.
minarisan ni lyka ti drowingna a bulan-laud.,lyka colored her drawing of the night sky.
agaw-sipnget idi nakasangpet ni tatang jose a naggapu diay bangkag.,it was dusk when father jose arrived from the farm.
sinabatmi dagiti kabagian a naggapu iti ballasiw-taaw.,we met relatives who came from overseas.
nabuntog ni jose. gunay-pag-ong isuna.,jose is slow. he is a slowpoke.
agay-ayam ti pitik-bulag dagiti dua nga agkabsat.,the two siblings are playing hide and seek.
nagtugaw a dagus dagiti singpet-kiteb nga ubing idi simmangpet ni nanangda.,the shy children immediately sat down when their mother arrived.
nagsangit ti kudil-sibuyas nga ubing.,the sensitive child cried.
