Iloko,English
maistoria,tell a story
agis-istoria,telling a story
bulan,moon
bato,rock
bola,ball
bituen,star
nganga,mouth open
ngipen,teeth
kuton,ant
insekto,insect
linya,line
ima,hand
pag-ong,turtle
kuarto,room
ubing,child
kulibangbang,butterfly
sabong,flower
ngiwat,mouth open
banga,pot
bado,clothes
batia,basin
billit,bird
labba,basket
timba,pail
kubo,hut
baket,old woman
lobo,balloon
bittak,crack
bulong,leaf
buneng,knife
sugat,wound
nabanglo,fragrant
bayad,payment
indaton,offered
balitok,gold
singsing,ring
kasangay,birthday
magnada,they walk
agkarayam,to crawl
makaasideg,to get near
agay-ayam,to play
agbasa,to read
dumdumngeg,listening
agawid,to go home
agriing,to wake up
nangbisita,visited
nagluto,cooked
nangala,got
insagot,gave
aglaklako,selling
nagngalngal,chewed
indatonna,he offered
nangina,expensive
kalbo,bald
nabittak,cracked
natadem,sharp
gripo,faucet
bigao,winnowing basket
kur-it,apostrophe
contractions,contractions
pagmaymaysaen,to combine into one
panangpababa,shortening
maibalikas,to be pronounced
kaspagarigan,for example
isu’t,he is
isuna’t,he is
dakami’t,we are
dakayo’t,you are
sika’t,you are
datayo’t,we are
agsursurat,writing
agbasbasa,reading
aglanglangoy,swimming
aglutluto,cooking
agmula,to plant
aglako,to sell
agpabpabasol,blaming others
nangawid,went home
bag,bag
naglugan,rode
motorsiklo,motorcycle
mangtultulong,helping
ading,younger sibling
nangkibin,picked up
binmallasiw,crossed the road
kalsada,road
nagwalis,swept
tattay,earlier
nadayaw,respectful
nasingpet,kind
napili,chosen
agsala,to dance
nalalaing,skillful
mantika,oil
ruot,grass
rangtay,bridge
rikna,feeling
rabii,night
rukod,measure
reyna,queen
rosas,rose
ramay,finger
rambutan,rambutan fruit
relo,watch
ama,father
rupa,face
ruangan,window
pabula,fable
legend,legend
panagdrama,dramatization
aksion,action
rubrik,rubric
pangibasaran,basis
naipakita,was shown
nalaing,skillful
panag-arte,acting
paset,part
pasamak,event
nagakem,characters
napateg a napasamak,important event
katnu ken ania,when and what
pangawag,nickname
nagdayamudom.,she murmured
nakapungtot.,got angry.
napukaw.,disappeared.
nagdumog.,leaned forward.
pinidutna.,she picked it.
nagsinnaay.,she regretted
pinagbabawi.,repentance
ugedan,underline
dialogo,dialogue
nadayaw,courteous.
makipatang,to converse.
nataengan,elders.
agsaludsod,to ask a question.
agpakada,to say goodbye.
agdawat,to request.
sumungbat,to answer.
agyamanak.,thank you.
sinagutannaka,gave you a gift.
bestida,dress.
naragsakan,happy.
immarakup,hugged.
bisita,visitor.
sala,living room.
plasa,plaza.
agpasiar,to take a walk.
nasabatmo,you met.
pagtagariam,to greet.
nagkinnita,saw each other.
nagsinnabat,met each other.
nadungpar,bumped into.
agkikinnamat,playing together.
pagadalan,school.
nasakitan,hurt.
kuarta,money.
makan,food.
naimas,delicious.
regalo,gift.
nasangpetam,you arrived.
ikit,aunt.
maliiw,to miss someone.
agap-apuraak,i am in a hurry.
agpaigid,to be careful.
nakatugaw,sitting.
sango,front.
pinuros,gathered.
sampagita,sampaguita jasmine flower
nadi,bad
natarusan,forgiven
madil-dilaw,to be ashamed
itan-ok,pride
nabak-nang,rich
maalumamay,soft
damag,worry
maumay,to get tired
awan danag,no worry
mauyaw,to be scolded
maulaw,shy
mapaunget,to be made angry
nalabid,naughty
birbiruken,to look for something
nakita,seen
pakakitaan,where something can be found
uneg,inside
nakakarga,contained
rabaw,on top
nakaparabaw,placed on top
sirok,under
nakakabel diay sirok,located under
ruar,outside
adda idlay ruar,is outside
katre,bed
pusa,cat
pungan,pillow
aso,dog
kaykayo,tree
paypay,fan
babae,woman
ubbing,child
nakaiagem,holding
dakkel,big
nalukmeg,fat
agdigdigos,taking a bath
matmaturog,sleeping
kahon,box
basket,basket
gym,gym
agbuybuya,watching
basketball,basketball
pantalon,pants
paraangan,yard
aggikinnamat,playing together
aggalut,cutting
indayan,firewood
manga,mango tree
libro,book
nakimisa,attended mass
simbaan,church
kalasada,road
nakabulas,loose
prutas,fruit
metu,too
nakangiw-ngiwat,laughing loudly
nagimas,good
katungtong,talking to someone on the phone
lugan,vehicle
paganurotan,instructions
aramiden,to do
pampannunoten,thoughts
galaw,action
nalpasen,finished
madama,currently happening
panagusar,usage
itatta,now
inaldaw,everyday
kanayon,always
idi kalman,yesterday
sakbay nga,before
mangmangan,eats
agayay-ayam,is playing
umin-inom,drinks
agkatkatawa,laughing
agtaytayab,laughing
agidurduron,flying
sibsibugan,is watering
agbirbirok,is looking for
agbakasyon,will go on vacation
umununeg,is entering
agar-arado,is plowing
nagpasiar,strolled
nagdalus,cleaned
nagtaray,ran
nagkali,dug
nagpuros,picked
tinarimaan,accepted
pinunno,filled
gimmatang,bought
nagbuya,watched
naglaba,washed clothes
nagayab,called
nasaririt,was able to
agbaybayad,will pay
agsao,will speak
aganunot,will think
agpukpukkaw,will shout
ack stone,jacks game
manang,older sister
nasalun-at,healthy
itlog,egg
bumaranggay,community members
gobierno,government
masetas,plants
abut,hole
sabsabong,flowers
hardin,garden
bisekleta,bicycle
nadadael,broken
kaiman,harvest time
dram,container
kawes,clothes
namureng,dirty
agsuksukat,changing clothes
agkupkupin,covering oneself
umis-isem,smiling
agsangsangit,crying
agkarkarayam,playing
agpuspusipos,spinning
agbagbagkat,carrying on the shoulder
agitintinnag,falling
agsagsagaysay,combing hair
maiyaplikar,to apply
panagbiag,life
rima,rhyme
tumultulong,helping
nagbagkat,carried
sumangpet,arrived
aggitara,to play guitar
isursuratko,i will write
agang-angaw,is barking
agar-amid,makes
agad-adal,studies
ik-ikkan,will be given
aglaglagto,jumps
agdigdigos,takes a bath
sumangpetak,i arrive
sabatemnak,greets me
nagpakada,said goodbye
sinaranay,turned on the light
nagkinnawat,received
agdissu,to reside
imminum,drank
agpukat,picked
aggian,live
agsubbot,save
maabog,will disappear
agparparut,cutting
aginana,to rest
agluglugan,riding a vehicle
pakanenna,feeds
agkikibin,picking
nagmulagat,looked around
agpalakpak,to clap
timpuak,jumped
kayo,wood
pagsungrod,post
arubayan,yard
karayan,river
street foods,street foods
agtutubo,youth
ginittaan,sauteed dish
rekado,ingredients
taraon,food
panagtutudo,rainy season
taraken,pet
kaay-ayam,playmate
leksion,lesson
assignment,assignment
eksamen,exam
baro a bad,new clothes
panagserra,end of school year
aso a puraw,white dog
biniigat,early morning
narat,obedient
nagtulang,bone
pagsilawan,light
maiparit,forbidden
basura,trash
mulmula,plants
pagtaengan,dwelling
karpintero,carpenter
maladaga,young man
umuli,to climb
masakit,sick
tuleng,deaf
radio,radio
temga,pond
nuang,carabao
nabannogen,tired
pasagad,cart
asona,his dogs
bulbulong,leaves
naumos,calm
agkaaruba,neighbors
dalag,young woman
kasipngetan,darkness
dakulap,hands
pitak,hole
nagleato,slipped
nangato,high
direksion,directions
wagas,step
panagaramid,the act of doing
pagasarunuen,to sequence
umuna,first
maikadua,second
kalpasanna,then
sumaruno,next
maudi,last
sakbay,before
malpas,after
insaruno,then added
kamaudiananna,finally
addang,step
aglaba,wash clothes
agsukat,change clothes
danuman,add water
palamiiisen,let it cool
agidda,to lie down
agkararag,pray
agbuggo,splash
agunnat,stretch
agwagwag,wash
ikahon,box
timbukelan,encircle
manisurat,write
agdrowing,draw
marisan,color
kupinek,i fold
bugwan,share
linayen,stir
sukaten,remove
ikarga,place inside
idulin,put away
ibati,leave behind
impisok,insert
nagawid,went home
kahel,orange
berde,green
pomelo,pink
agong,nose
panganan,bell
strawberry,strawberry
nalabbaga,red
ube,purple
ubas,grapes
cherries,cherries
asul,blue
krayola,crayon
paborito,favorite
nagan,name
masitas,plants
sandwich,sandwich
tinapay,bread
pagkinnaluben,to spread on
pulagidan,to spread
balkoten,to wrap
panagmula,planting
natnag,fell
umul-uli,climbing
nakaturog,sleeping
kibkibinen,being helped
bumallasiw,road
oles,blanket
parick,container for oil
agprito,to fry
nabatil,beaten
ipisok,to put in
para balay,for home
innapoy,rice
kanen,food
klasrum,classroom
kaeskuelaan,classmate
gamit,things
mausar,to be used
panagadal,studying
bangus,milkfish
sagpaw,topping
luf-lutuen,to cook by boiling
karne,meat
nateng,vegetables
bisinen,hungry
pagpilaan,place for lining up
nataengan,elderly
nakapsutdan,weak
pudno,truth
panagtimpla,preparing
kape,coffee
baso,glass
asukar,sugar
idanon,deliver
sidadayaw,respectfully
nagpakadaak,i asked permission
kinunana,she said
mabalin,possible
makappanak,i can go
dumar-ay,to attend
agkimitata,we will meet
awisenka,i am inviting you
padaya,party
insagana,prepared
oras,time
malem,afternoon
ulo,head
uyek,cough
gurigorria,colds
imbalakad,advice
doktor,doctor
panagisuro,teaching
agsurat,to write
avisen,to invite
panangawis,inviting
pamiliada,their family
card,card
nagpaset,problem
nakapasamakan,setting
parikot,characters
narisut,solved
naragsak,happy
naliday,sad
konsepto,concept
abilidad,skill
matarusam,you understand
naduma-duma,various
lubnak,swamp
bilbilinen,reminding
umas-asideg,to go near
siguradoak,i am sure
matiliw,to be caught
napardasak,i am fast
tumayab,to fly
malas,luck
natiliw,was caught
kinnan,ate
natay,died
baybay,sea
klinika,clinic
doktora,doctor
agpaparot,to extract
kaayan-ayat,beloved
balasang,young woman
tiniliw,captured
impawnawda,they took away
puraw,white
duyaw,yellow
maraubi,violet
bassit,small
atiddog,long
ababa,short
kalalainganna,medium
makunam,you can say
sapatos,shoes
bayabas,guava
amisaan,dining table
napukaw,lost
nagpidot,picked up
kinnanna,he ate
pinggan,plate
nasabat,encountered
ipus,tail
naglemmeng,hid
platito,small plate
tabla,plank
nasarakak,i found
panio,handkerchief
kalub,cap
bote,bottle
kawayan,bamboo
natumba,fell down
bunga,fruit
kaimito,star apple
tugtugaw,chairs
pitser,pitcher
kategoria,category
temperatura,temperature
tekstura,texture
pangnagan,the thing being described
mangiladawan,describes
nakigtot,afraid
mabisin,hungry
nabsog,full
naunget,angry
nalamiis,cold
napudot,hot
nabara,warm
nakersang,rough
nalamuyot,soft
natangken,hard
agkakanta,singing
salamagi,tamarin tree
bagi,body
sopas,soup
kapas,cotton
marshmallow,marshmallow
darat,sand
icedrop,ice drop
ules,blanket
pinagkadua,joined
baro a balikas,new word
kaipapanan,meaning
tarus,translation
benneg,hyphen
taray-kabalio,fast runner
siled-pagbasaan,library
gingat-pag-ong,turtle
taray,run
kabalio,horse
siled,room
pagbasaan,reading place
agaw-sipnget,dusk
agaw,to overcome
sipnget,darkness
singpet-kiteb,shy
singpet,well-behaved
kiteb,tick insect
gunay-pag-ong,slowpoke
gunay,slow
tangkan-ulo,stubborn
tangkan,hard
karimbaboy,walking on all fours
karim,share
kadamay,to accompany
baboy,pig
kudil-sibuyas,sensitive
kudil,skin
sibuyas,onion
ballasiw-taaw,overseas
ballasiw,across
taaw,sea
bantay-balay,watchdog
ipus-atiddog,long-tailed
naarsagid,easily offended
nabuntog,slow
napardas,fast
rumabiin,evening
nauilmek,quiet
kaay-ayanko,my friend
sim-mangpet,yesterday
kalman,won
atleta,athlete
pinakan,fed
nakakulong,imprisoned
pimmanaw,left
natulnog,obedient
natangsit,arrogant
panangusar,usage
nausar,used
naadalmo,you learned
pitik-bulag,hide and seek
pitik,flick
bulag,blind
bulan-laud,moon and stars
laud,stars
agwalis,sweeping
naggapu,came from
agulimekka,you must be quiet
nagdrowing,drew
bituin,star
minarisan,colored
nabayag,a long time
nakadanun,to be found
nakasangpet,arrived
bangkag,farm
sinabatmi,we met
kabagian,relatives
agkabsat,siblings
nagtugaw,sat down
simmangpet,arrived
nalawag,clear
magna,to walk
napaguntan,convinced
tumanao,barked
pangangan,noun
inladawan,described
nagaget,hardworking
managtulong,helpful
nataragsit,elegant
nawara,scattered
narugit,dirty
nabangsit,smelly
napintas,beautiful
nalawa,wide
nabaknang,rich
naisem,smiling
nagayad,orderly
nadalus,clean
nasalimetmet,thrifty
naanus,patient
nasapa,early
nauyong,bent
akikid,narrow
nailday,sad
nakitak,i saw
lata,can
agkawara,scattered
gayyem,friend
tungtungpaienna,he
ibabaga,says
rumbeng,should
tuladen,to imitate
pakwan,watermelon
pinagpagna,walked
santol,santol
sinukatko,i picked
paldak,row
lelang,grandmother
kapada-a-balikas,synonyms
naugedan,underlined
keyk,cake
tali,rope
sanga,branch
kueba,cave
guruod,thunder
imbelleng,threw
bulkang,volcano
nagna,walked
turon,banana roll
spaghetti,spaghetti
agbagkat,to carry
kasupadi-a-balikas,antonyms
adayo,far
asideg,near
nalaka,easy
narigat,difficult
nasadot,lazy
basbasaek,i am reading
karga,load
banawang,canal
papaya,papaya
agluto,to cook
inawis,invited
panagkasangay,birthday
immay,came
komento,comment
reaksion,reaction
silaba,syllable
aweng,sound
agkiwkiwar,to wave hands
agur-urnos,to arrange
mannakpakan,will feed
agpukpukan,to chop wood
nagnagna,walked
agwalwalis,to sweep
agpunpunas,to wipe
agaw-awit,to carry
aggus-gusgos,to scrub
ub-ubbing,children
lib-libro,book
del-delata,canned goods
agkasapulan,to be in need
kaaruba,neighbor
naawanan,lost something
pagsapulan,livelihood
pinanggep,purpose
gagayyem,friends
naan-anay,sufficient
mangibunong,to donate
bagas,rice
ag-agas,medicine
noodles,noodles
mangipaay,to offer
marigrigat,poor
nababaknang,rich
tarigagay,goal
maiwaragawag,to be famous
kinalaing,skill
napalangguad,famous
mapagpannakkel,boastful
mangibingay,to share
ayuda,help
pinagrigat,something worked hard for
naggaget,hardworking
nadungngo,caring
agkakabsat,siblings
napatanor,raised
aginnayat,to love each other
alikamen,tools
wara,litter
rugit,dirt
ubrada,work
mangyumos,to arrange
ayup,animal
dingwen,pet
mangtartaraken,to take care of animals
liwayan,neglect
pakanen,to feed
nalalapsat,healthy
makaay-ayo,pleasant
buybuyaen,to watch
nakurapay,difficult
naurnos,orderly
agtutunos,united
agtutunos kami.,we are united.
agtitinnulong kami.,we help each other.
panangyebkas,expression
kapanonotan,ideas
karielon,poster
pakdaar,announcement
ragup ti sasao,sentence
tao,people
kapitan,captain
mario,a name
banag,things
papel,paper
telepono,telephone
dudon,crayon
bado,dress
ayup,animals
lugar,places
plasa,plaza
paskua,christmas
domingo,sunday
kaykayat,to like
papanan,to go to a place
gummatang,bought
agpasiar,to stroll
inay-ayat,loved
pangtaripato,care
aglawlaw,environment
iladawan,to describe
tingnga,middle
kasarian,gender
pambabai,feminine
panialaki,masculine
plorera,vase
plastik,plastic
plaka,record
klase,class
klima,climate
klaro,clear
kilnik,clinic
kliente,client
globo,globe
drayber,driver
drakula,dracula
drama,drama
drebol,revolver
gripo,faucet
trabaho,work
ngilaw,jealous
sunget,stubborn
dangan,fast
nars,nurse
ekonomiks,economics
matematiks,mathematics
prinsesa,princess
hardinero,gardener
uliteg,uncle
manong,older brother
ninong,godfather
pulis,police officer
mannursuro,teacher
mangidadaulo,leader
bato,stone
pannekket,affixes
pasakbay,prefix
gillapi,infix
panikket-likud,suffix
ragup a pangnagan,collective nouns
umtaray,to run
umragsak,to be happy
maaramid,can be done
sinippit,was pinched
sinagana,was prepared
lutoan,kitchen
naapgana,was walked on
kilo,kilo
supot,bag
reppet,bunch
takal,a measure using a can
bulig,bunch
grupo,group
kaban,a large measure
tiniklis,a bunch
limon,a unit for counting small items like seeds
atado,pack
banda,band
nagdigos,took a bath
magmagna,will walk
nagliwliw,celebrated
mangmanganak,i will eat
maseknan,subject
pakaseknan,predicate
pagannurotan,instructions
naariwawa,wide
nakurangan,lacking
adalem,deep
nasirib,wise
naulimek,quiet
asided,near
naireb,found
nabuskel,complete
ababaw,shallow
nagannak,parents
simmurot,followed
nagsakay,rode
nangted,gave
nasam-it,sweet
naluom,ripe
ayaten,let's love
agay-ay-ayam,playing
mangidrowing,draw
isurat,write
pilien,choose
basaen,read
suroten,follow
kuadrado,square
timbukel,circle
triangguio,triangle
sukat,meter
ken istansa,and stanza
addaan ti paulo,has a theme
karakter,character
tignay,verb
siled-pagadalan,classroom
daksang-gasat,unexpected event
balay-pagdulinan,storage house
tingnga-aldaw,noon
tibker-pakinakem,strong-minded
igid-karayan,riverside
awanan-dayaw,disrespectful
tungpal-bilin,follow instructions
igid-baybay,seaside
napaspas,fast
kadakkelan,biggest
kabassitan,smallest
nasipnget,dark
barbaro,new
aglaba,to wash clothes
aglinis,to clean
agdigos,to bathe
mangtaripatu,to take care of
magusgustua,to like
maguyod,to pull
agdalan,to walk
mangmangted,to give
maturog,to sleep
inumnos,arranged
nagay-ayam,played
naungot,scolded
nakaida,hid
innala,got
naginnaw,washed dishes
probinsia,province
kariton,cart
pagluglugan,vehicle for riding
mais,corn
niog,coconut
unas,sugarcane
kalapaw,hut
dan-aw,lake
kawitan,leader
ray-aw,advice
lamiis,cool breeze
kumablaaw,to greet
mairana,visitors
dumap-aw,to arrive
mayepyep,peaceful
agurok,to snore
panangisarita,declarative
panagsaludsod,interrogative
pautos,imperative
mensahe,message
agdengdenggeg,listener
nakailanadan,summary
pagtutungtungan,topic being discussed
kapatgan,most important
panunot,thought
panangibaga,stating
panangistoria,storytelling
agdawat,to ask
pabor,favor
napalalo,extreme
ragsak,joy
pungtot,anger
buteng,fear
pannakakigtot,surprise
banuar,intelligent
nayanak,was born
malingel,famous
pagiliantayo,our country
nasustansia,nutritious
bitamina,vitamins
mineral,minerals
pigsá,strength
kired,energy
sagubanit,sickness
maliklikan,can be avoided
napudno,loyal
mapagtalkan,can be trusted
gabantay,guard
makigantil,to play
amo,owner
panagbuggo ti ima,hand washing
nasken,necessary
punasan,to wipe
nadalos a lupot,clean cloth
lasud,span of time
agsukat ti kawes,to change clothes
aggisigis ti ngipin,to brush teeth
naadus,clean
liklikan,avoid
kapudutan,heat of the sun
agitugot,to bring
maiyannatop,appropriate
ak,i
dayta,that
sitayo,we
sikami,we
sikayo,you
kenka,to you
kenkuana,to him
kadakuada,to them
bagik,my
kaniak,min
bagim,your
kaniam,yours
bagina,her
kaniana,hers
bagitayo,our
kaniatayo,ours
bagimi,our
kaniami,ours
bagiyo,your
kaniayo,yours
bagida,their
kaniada,theirs
elemento ti istoria,story elements
plot,plot
paulo,theme
resolution,resolution
conflict,conflict
ay-ayup,animals
turong,direction
lugar,location
sumario,summary
solusyon,solution
parikut,problem
nangiturong,led
uken,pet dog
maris,color
painumen,to give water to drink
padigusen,to bathe an animal
pagiddaen,to provide a bed
ikamen,dog house
agpaspasiar,to take a walk
maikadua a tukad,second grade
nakapayong,using an umbrella
agtudtudo,raining
nalabasan,passed by
agur-uray,waiting
isardeng,to stop
dinagas,got wet
pinayungan,shared the umbrella with
mabiiten,late
oras ti serrek,class time
kabaelan,chores
lippasen,to finish
malabaan,to be washed
naragit,dirty
agpalo,to weed
inayaban,invited
nappanunot,thoughtful
simmungbat,answered
tumulong,to help
magusgustuan,to like
kendi,candy
sinam-it,sweets
maliwayan,to neglect
aggisigis,to brush
ribrib,cavity
pammarang,pain
agsakitsakit,hurts
binukbok,decayed
insangit,cried out
ingariet,to press hard
ungan,pillow
agrubwat,to get ready
dentista,dentist
pinag-ut,extracted
madadael,to be destroyed
agyaman,to thank
panangidasig,to compare
kasia,like
mata,eye
agna,body build
napartak,fast
agtaray,to run
kaparpartak,as fast as
aggergerlap,sparkles
baro,new
diamante,diamond
kalawlawag,bright
natangkan,hard
mamon,a type of soft bread
kallugong,hat
nalammiis,cold
yelo,ice
napigsa,strong
biruruko,lightning
utot,wind
kimat,lightning
sukog,shape
ay-ayam,toys
makmakan,foods
prutas,fruits
nasiglat,energetic
kumanta,to sing
agdrowing,to draw
agbabain,to be shy
aywan,pet
pato,duck
dutdot,feathers
amarilio,yellow
nangbalkot,covered
natirad,flat
sippit,beak
nakuttong,short
gurong,neck
maris dapo,gray color
burbor,fur
naraniag,bright
annak,children
nakakidem,closed eyes
agmulagat,to open the eyes
agtubo,to grow
agkakaingas,to play
agiina,to meow
pidaso,piece
intangal,removed
nasapulan,needed
sangaiwa,strange
anniniwan,shadow
narawet,delicious
tren tren,train toy
robot,robot toy
baby doll,doll
arroz caldo,rice porridge
nalabaga,red
marabiuen,violet
nagbukel,round
trianggulo,triangle
marapuso,heart-shaped
mannakigayyem,friendly
nasayaat,good
nusaan,patient
memannagayyem,friendly
pinnatas,beautiful
kulaneg,chubby
saantaay,good
nakaprinta,printed
ensiklopedya,encyclopedia
magasin,magazine
diyaryo,newspaper
dyornal,journal
annunsiyo,announcement
maiannunsio,announced
nakasurat,written
proklama,proclamation
pakaammo,notice
pablaak,publication
maiwaras,distributed
publiko,public
sino,who
ania,what
kaano,when
sadino,where
simbolo,symbol
komunidad,community
flat a surface,flat surface
visual a wagas,visual way
wagas,way
agnanaed,live
aminnan,north
minuyungan,orchard
uleg,snake
nakapotipot,wrapped around
puon ti kayo,trunk
kigtot,surprise
sakit,sickness
pagangesan,respiratory
virus,virus
awan nasisita nga agas,no proven cure yet
makaptan,get infected
miting,meeting
proyekto,project
panagdaldalus,cleaning
inpeksiyon,infection
sintomas,symptoms
maranrasan,experienced
mainimbagan,recover
nalaala,severe
hakbang,steps
alkohol,alcohol
sabun,soap
bibig,mouth
panangsurot,following
tisyu,tissue
gurigor,fever
kaadayo,distance
ospital,hospital
kasamit,sweetness
tangatang,sky
calculator,calculator
ugeng,fog
kasipnget,darkness
brillante,sparkling
kaalsem,sourness
suot,wearing
blusa,blouse
kalamuyot,softness
kalagan,lightness
trabahador,worker
alimbubuyog,bee
agsapul,to search
kapanunotan,mind
kalawag,brightness
cookies,cookies
katangkan,hardness
isem,smile
panaggayyem,friendship
honey,honey
lamisan,table
aglalaw,surroundings
komunikasion,communication
panangibingay,sharing
kapadasan,experiences
kapanunutan,thoughts
kabisado,familiar
matutop,appropriate
panagsasagannad,order
nagkikinnita,met
makaikawa,difficult
modiul,module
inted,given
pandemia,pandemic
agkakadua,together
agdama,current
kusto,correct
panangmintenar,maintaining
metro,meter
ay,oh
pinadawatan,offered
merienda,snack
naguni,rang
telepono,telephone
kadawyan,usually
aggian,to live
naturog,sleeping
simrek,entered
makinisa,churchgoers
timmayab,flew
indisso,placed
agin inana,resting
agur uray,waiting
agtatayab,flying
nagipan,placed
naduma duma,various
asket,basket
agay ayam,playing
nakangiw ngiwat,shouting
katrena,bed
agayay ayam,playing
umin inom,drinks
agsasarita,talking
nagkali,dug
salun at,healthy
umis isem,smiling
agkurkurikor,crawling
magango,withered
makset,dry
nakasagana,prepared
bigla,suddenly
immuneg,entered
aggayyem,friends
gaputa,because
sakbay,before
awan,none
eskuela,school
dagus,immediately
apaman a,when
makariing,to wake up
agsapa,morning
agbantay,guarding
pumanpanaw,leaving
pincalis,prohibited
selebrasion,celebration
dudon,ant
kaay ayam,playmate
nagtulangan,leftovers
attiddog,long
agdengdengeg,listens
naglangoy,swam
makisig,handsome
sabali,other
agasala,dancing
isagana,prepare
namnama,hope
direksion,direction
panagsasaruno,sequence
pagannurotan,instruction
sungbat,answer
umuna,first
maikadua,second
sumaruno,next
kalpasanna,then
maudi,last
uby,grapes
makapasalun at,healthy
surat,letter
pannakipatang,communication
modelo,model
imbitasyon,invitation
panggep,purpose
detalye,details
kumpleto,complete
sidadayaw,respectfully
naglaon iti,contained
nanang,mother
manursuro,teacher
anak,child
aldaw,day
bigat,morning
petsa,date
pirma,signature
gurigurigor,cold
sigurado,sure
impanaw,was taken away
naabak,was defeated
nakipasamano,shook hands
inarayat,was helped
ikkis,scream
sangsangit,cry
alaen,to be taken
binagsol,regretted
nagbalin,became
binrmallasivv,stumbled
naatalan,was hit by
nasakit,painful
maipagna,to step on
managdakdakes,evil men
fishball,fishball
grupo,team
kalaban,opponent
puon,tree trunk
mangga,mango tree
bisikleta,bicycle
ari,king
reyna,queen
pagarian,kingdom
gangannaet,stranger
prinsesa,princess
panawen,time
narusnub,name of a kingdom
natayag,tall
ado,many
siyam,nine
naliinaw,clear
nalinis,clean
napait,bitter
daan,old
mala-palasio,palatial
mara-iklog,wooden
naata,sour
nalapad,wide
nataraki,handsome
nalasbang,fresh
gumamela,gumamela flower
bolintek,marble
baka,cow
lako,item for sale
medalia,medal
ipos,tail
laso,ribbon
kotse,car
babai,woman
burnay,jar
kuneho,rabbit
ullaw,light
kapada,similar
kasupadi,opposite
kayat a sawen,meaning
pagarigan,example
manayunan,to enhance
paglaingan,skill
imbes,instead
adalen,let's study
nanus,patient
pagnaedan,dwelling
nalang,face
naalas,bad
aramid,action
managraem,respectful
natalna,peaceful
